代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来
006003,工银医药健康股票C,0.9839,-1.47%,--,--,--,--,-1.59%
006004,工银添祥一年定开债券,1.0003,0.65%,--,--,--,--,0.37%
006007,诺安积极配置混合A,1.0025,0.46%,--,--,--,--,0.38%
006008,诺安积极配置混合C,1.0118,0.43%,--,--,--,--,1.33%
006009,国融融银灵活配置混合A,1.0035,-0.16%,-0.19%,--,--,--,0.04%
006010,国融融银灵活配置混合C,1.0015,-0.22%,-0.38%,--,--,--,-0.16%
006011,中信保诚稳鸿A,6.3767,-1.34%,535.69%,--,--,--,537.72%
006012,中信保诚稳鸿C,0.9804,-1.40%,-2.99%,--,--,--,-1.95%
006015,华安信用四季红债券C,1.0561,0.38%,1.15%,--,--,--,1.73%
006016,平安大华惠安债券,1.0185,0.58%,1.33%,--,--,--,1.90%
006019,广发景智纯债,,,,,,,
006020,广发沪深300指数增强A,0.9217,-1.19%,-7.54%,--,--,--,-7.67%
006021,广发沪深300指数增强C,0.9209,-1.22%,-7.61%,--,--,--,-7.75%
006022,富国大盘价值量化混合,0.9945,-0.99%,--,--,--,--,-0.20%
006025,诺安优化配置混合,--,--,--,--,--,--,-0.06%
006026,东吴鼎泰纯债债券,,,,,,,
006028,长江乐逸定开债券,--,--,--,--,--,--,--
006029,鹏华尊享定开债发起式,1.0053,0.13%,0.51%,--,--,--,0.59%
006037,国泰瑞和纯债债券,1.0115,1.07%,--,--,--,--,1.15%
006038,大成景恒混合C,0.9440,-9.93%,-8.60%,--,--,--,-8.78%
006039,国富估值优势混合,--,-3.77%,--,--,--,--,-5.27%
006040,安信永瑞定开债券,1.0213,0.60%,1.98%,--,--,--,2.46%
006041,鹏华兴盛灵活配置混合C,0.9989,0.00%,1.63%,--,--,--,0.00%
006042,上投摩根尚睿混合(FOF),--,0.26%,--,--,--,--,0.32%
006043,永赢惠益债券A,1.0175,0.85%,1.47%,--,--,--,1.74%
006044,永赢惠益债券C,1.0205,0.86%,1.68%,--,--,--,2.05%
006046,兴业聚名灵活配置混合,--,--,--,--,--,--,--
006047,长信稳健纯债债券E,1.0665,0.63%,1.85%,--,--,--,2.11%
006048,长城中证500指数增强,0.8467,-7.23%,--,--,--,--,-14.97%
006049,恒越研究精选混合A/B,0.9496,-0.64%,-3.65%,--,--,--,-3.66%
006050,恒越研究精选混合A/B(后端),--,--,--,--,--,--,--
006053,中航瑞景3个月定开A,1.0021,0.21%,--,--,--,--,0.21%
006054,中航瑞景3个月定开C,1.0020,0.20%,--,--,--,--,0.20%
006055,鹏扬淳合债券,1.0158,0.98%,1.78%,--,--,--,2.00%
006057,鹏华丰和债券(LOF)C,0.9837,1.02%,-0.60%,--,--,--,-1.40%
006058,民生加银新兴成长混合,--,--,--,--,--,--,-0.01%
006061,红土创新增强收益债券A,1.0080,0.54%,--,--,--,--,0.90%
006062,鹏华兴康灵活配置混合C,,,,,,,
006063,景顺长城MSCI中国A股国际通,--,0.30%,-7.50%,--,--,--,-7.50%
006064,红土创新增强收益债券C,1.0063,0.52%,--,--,--,--,0.73%
006065,景顺长城景泰稳利定开债C,1.0285,0.29%,1.22%,--,--,--,1.82%
006066,中加颐睿纯债债券A,1.0075,0.66%,--,--,--,--,0.81%
006067,中加颐睿纯债债券C,1.0068,0.63%,--,--,--,--,0.73%
006068,中加颐信纯债债券A,1.0099,0.47%,1.29%,--,--,--,2.01%
006069,中加颐信纯债债券C,1.0099,0.47%,1.29%,--,--,--,2.01%
006070,银河沃丰债券,1.0027,--,--,--,--,--,0.32%
006071,银河睿嘉债券A,1.0127,0.30%,0.95%,--,--,--,1.28%
006073,人保鑫瑞中短债债券A,1.0011,0.21%,--,--,--,--,0.22%
006074,人保鑫瑞中短债债券C,1.0009,0.19%,--,--,--,--,0.19%
006075,博时标普500ETF联接C,--,-4.28%,2.50%,--,--,--,112.85%
006076,创金合信恒利超短债债券A,1.0115,0.51%,--,--,--,--,1.18%
006077,创金合信恒利超短债债券C,1.0109,0.48%,--,--,--,--,1.11%
006082,鑫元全利A,,,,,,,
006083,鑫元全利C,,,,,,,
006085,万家新机遇价值驱动C,0.9330,-1.75%,--,--,--,--,-4.16%
006087,华泰柏瑞中证500ETF联接C,0.4582,-8.36%,-16.12%,--,--,--,-21.77%
006088,永赢润益债券A,1.0086,0.76%,--,--,--,--,0.89%
006089,永赢润益债券C,1.0077,0.75%,--,--,--,--,0.81%
006090,前海开源鼎康债券A,1.0031,0.48%,--,--,--,--,0.32%
006091,前海开源鼎康债券C,1.0023,0.45%,--,--,--,--,0.25%
006092,永赢荣益债券A,1.0016,--,--,--,--,--,0.17%
006093,永赢荣益债券C,1.0016,--,--,--,--,--,0.17%
006094,永赢泰益债券A,1.0124,0.39%,1.08%,--,--,--,1.24%
006095,永赢泰益债券C,1.0116,0.38%,1.03%,--,--,--,1.17%
006096,中金浙金6个月定开债,1.0172,0.80%,1.89%,--,--,--,2.07%
006098,华宝券商ETF联接,0.8875,-7.85%,-11.12%,--,--,--,-11.24%
006099,泰达宏利泽利债券,1.0054,--,--,--,--,--,0.55%
006100,平安大华优势产业混合A,--,-0.79%,--,--,--,--,-0.81%
006101,平安大华优势产业混合C,--,-0.97%,--,--,--,--,-1.02%
006102,浙商丰利增强债券,,,,,,,
006103,凯石淳行业精选混合,0.9387,-3.27%,--,--,--,--,-5.83%
006104,华泰柏瑞量化智慧混合C,0.9195,-4.99%,-13.57%,--,--,--,-12.04%
006107,招商添利6个月定开债发起式A,1.0068,0.65%,0.95%,--,--,--,1.04%
006108,招商添利6个月定开债发起式C,--,--,--,--,--,--,0.00%
006109,富荣价值精选混合A,--,-1.45%,--,--,--,--,-1.54%
006110,富荣价值精选混合C,--,-1.48%,--,--,--,--,-1.58%
006111,泰康弘实3月定开混合,--,-0.13%,--,--,--,--,-0.41%
006112,易方达恒惠定开债,1.0148,0.23%,1.48%,--,--,--,1.48%
006113,汇添富创新医药混合,,,,,,,
006114,人保鑫利债券A,1.0037,0.66%,--,--,--,--,0.45%
006115,人保鑫利债券C,1.0025,0.56%,--,--,--,--,0.32%
006118,天弘瑞享定期开放债,--,--,--,--,--,--,--
006119,银华中证央企结构调整ETF联接,,,,,,,
006125,平安大华鼎兴定开混合A,--,--,--,--,--,--,--
006126,平安大华鼎兴定开混合C,--,--,--,--,--,--,--
006127,华宝香港中小C,--,-2.63%,--,--,--,--,-15.60%
006131,华泰柏瑞沪深300ETF联接C,1.3093,-0.92%,-7.53%,--,--,--,-5.34%
006132,万家智造优势混合A,--,0.54%,--,--,--,--,0.54%
006133,万家智造优势混合C,--,-0.05%,--,--,--,--,-0.06%
006134,富国金融债债券型,1.0048,--,--,--,--,--,0.51%
006135,长江乐鑫定开债,1.0029,0.34%,--,--,--,--,0.47%
006136,广发估值优势混合,--,--,--,--,--,--,0.01%
006138,国联安价值优选股票,--,--,--,--,--,--,0.05%
006142,鑫元淳利定期开放债券,1.0071,0.68%,0.72%,--,--,--,0.72%
006145,前海开源鼎欣债券A,1.0003,-0.05%,--,--,--,--,0.02%
006146,前海开源鼎欣债券C,1.0004,-0.03%,--,--,--,--,0.03%
006149,南方赢元,1.0032,--,--,--,--,--,0.32%
006150,招商添利两年债券,1.0000,--,--,--,--,--,0.01%
006157,财通量化核心优选混合,--,--,--,--,--,--,0.09%
006158,博时荣享回报混合A,--,-0.32%,--,--,--,--,-0.67%
006159,博时荣享回报混合C,--,-0.37%,--,--,--,--,-0.74%
006160,博道启航混合A,--,-1.82%,--,--,--,--,-2.91%
006161,博道启航混合C,--,-1.87%,--,--,--,--,-3.00%
006162,财通资管积极收益债券E,1.0133,0.38%,--,--,--,--,1.35%
006163,融通增辉定开债券发起式,1.0086,0.83%,--,--,--,--,0.95%
006171,鹏扬淳利定期开放债券,1.0039,0.60%,--,--,--,--,0.71%
006172,万家鑫悦纯债A,1.0040,0.27%,--,--,--,--,0.41%
006173,万家鑫悦纯债C,1.0034,0.23%,--,--,--,--,0.35%
006174,长信稳裕三个月定开债,1.0016,0.27%,--,--,--,--,0.30%
006177,中信保诚稳达A,1.0021,0.18%,--,--,--,--,0.22%
006178,中信保诚稳达C,1.0021,0.18%,--,--,--,--,0.22%
006180,中加颐合纯债债券,1.0014,--,--,--,--,--,0.14%
006183,南方泽元,1.0063,--,--,--,--,--,0.66%
006184,格林泓鑫纯债A,,,,,,,
006185,格林泓鑫纯债C,,,,,,,
006186,永赢盈益债券A,1.0058,0.56%,--,--,--,--,0.59%
006187,永赢盈益债券C,1.0057,0.55%,--,--,--,--,0.58%
006188,华泰保兴尊颐定开,1.0050,0.49%,--,--,--,--,0.54%
