代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来
502011,易方达证券公司分级A,1.0121,0.37%,1.14%,2.23%,4.51%,14.64%,16.09%
502012,易方达证券公司分级B,0.4013,-17.26%,-26.41%,-56.37%,-69.45%,-77.81%,-90.68%
502013,长盛中证申万一带一路分级,0.6634,-1.63%,-2.07%,-17.64%,-23.47%,-26.79%,-57.28%
502014,长盛中证申万一带一路分级A,1.0431,0.38%,1.16%,2.46%,5.00%,16.61%,19.13%
502015,长盛中证申万一带一路分级B,0.2839,-8.42%,-12.38%,-52.20%,-61.71%,-70.30%,-94.92%
502020,国金上证50分级,0.8783,1.98%,-2.77%,-8.65%,-7.30%,16.52%,-20.99%
502021,国金上证50分级A,1.0411,0.39%,1.17%,2.46%,5.02%,15.07%,17.65%
502022,国金上证50分级B,0.7147,4.40%,-8.25%,-21.15%,-22.84%,5.06%,-80.48%
502023,鹏华钢铁分级,0.8221,0.86%,-3.27%,-11.67%,-20.26%,-13.30%,-11.31%
502024,鹏华钢铁分级A,1.0051,0.40%,1.08%,2.16%,4.50%,14.65%,15.56%
502025,鹏华钢铁分级B,0.6393,1.58%,-9.34%,-27.49%,-42.41%,-38.25%,-35.90%
502030,中海中证高铁产业指数分级,0.6705,-1.03%,1.59%,-16.80%,-30.40%,-44.53%,-52.74%
502031,中海中证高铁产业指数分级A,1.0102,0.40%,1.29%,2.46%,5.00%,16.34%,17.62%
502032,中海中证高铁产业指数分级B,0.3309,-5.17%,3.45%,-47.87%,-66.46%,-86.56%,-90.69%
502036,大成中证互联网金融指数分级,0.6817,-10.03%,-14.59%,-28.13%,-33.72%,-41.42%,-52.87%
502037,大成中证互联网金融指数分级A,1.0454,0.44%,1.35%,2.71%,5.50%,17.62%,19.67%
502038,大成中证互联网金融指数分级B,0.3182,-33.20%,-43.92%,-64.05%,-70.50%,-84.53%,-90.85%
502040,长盛上证50指数分级,1.0448,1.95%,-0.95%,-7.86%,-5.64%,3.19%,10.52%
502041,长盛上证50指数分级A,1.0431,0.38%,1.16%,2.46%,5.00%,16.31%,17.35%
502042,长盛上证50指数分级B,1.0466,3.57%,-3.06%,-16.27%,-14.13%,-7.77%,4.50%
502048,易方达上证50指数分级,0.8615,-0.25%,-0.38%,-11.25%,-8.80%,15.76%,-19.87%
502049,易方达上证50指数分级A,1.0331,0.36%,1.11%,2.23%,4.51%,14.78%,17.85%
502050,易方达上证50指数分级B,0.6252,-1.29%,-2.88%,-27.91%,-29.71%,-1.57%,-72.26%
502053,长盛中证证券公司分级,0.9270,-7.57%,-13.04%,-27.59%,-40.31%,-40.55%,-37.16%
502054,长盛中证证券公司分级A,1.0041,0.40%,1.18%,2.48%,5.02%,16.33%,17.38%
502055,长盛中证证券公司分级B,0.8500,-15.48%,-38.82%,-67.14%,-79.57%,-81.56%,-79.63%
502056,广发医疗指数分级,0.9003,-7.05%,-18.95%,-18.73%,-11.65%,-30.52%,-38.03%
