代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来
160910,大成创新成长混合,0.8689,-0.46%,-11.42%,-13.79%,-11.07%,-0.09%,1.90%
160915,大成景丰债券(LOF),1.0872,0.00%,-1.45%,-3.03%,-3.37%,2.54%,59.55%
160916,大成优选混合(LOF),2.4045,-1.91%,-11.78%,-13.74%,-10.74%,22.63%,141.10%
160918,大成中小盘混合(LOF),1.7824,-5.17%,-6.01%,-13.96%,-3.32%,7.83%,112.43%
160919,大成产业升级股票,0.9576,-4.59%,-16.80%,-21.45%,-25.60%,-25.83%,-9.74%
160921,大成多策略混合(LOF),0.8053,-1.84%,-10.63%,-17.12%,-19.82%,--,-18.29%
160922,大成恒生综合中小型股指数,0.9634,-1.33%,-10.24%,-14.61%,-16.46%,--,-3.60%
160923,大成海外中国机会混合,1.0739,-5.48%,-12.78%,-16.16%,-10.55%,--,1.70%
160924,大成恒生指数,0.9608,-0.93%,-5.51%,-7.25%,-5.33%,--,-4.00%
161005,富国天惠成长混合A,1.6056,-4.00%,-17.67%,-21.49%,-17.62%,2.98%,814.96%
161006,富国天惠成长混合A(后端),,,,,,,
161010,富国天丰强化债券(LOF),1.0278,-1.34%,-1.72%,-1.06%,-4.46%,0.92%,80.96%
161014,富国汇利回报两年定期开放债券,1.1331,0.93%,2.45%,2.71%,5.76%,13.33%,65.29%
161015,富国天盈债券(LOF),0.9672,0.21%,1.26%,1.79%,3.64%,10.26%,64.24%
161017,富国中证500,1.6622,-7.06%,-13.00%,-22.87%,-27.73%,-7.00%,67.30%
161018,富国天丰强化债券(LOF)(后端),,,,,,,
161019,富国新天锋定开债,1.0093,0.50%,1.20%,0.50%,0.90%,7.95%,46.32%
161020,富国新天锋定开债(后端),,,,,,,
161021,富国中证500(后端),,,,,,,
161022,富国创业板指数分级,0.8592,-8.75%,-18.60%,-29.39%,-32.61%,-43.59%,-16.19%
161024,富国中证军工指数分级,0.6371,-11.30%,-9.64%,-25.06%,-31.96%,-46.18%,-0.02%
161025,富国中证移动互联网指数分级,0.7511,-9.71%,-19.04%,-29.75%,-34.08%,-37.23%,-31.48%
161026,富国中证国企改革指数分级,0.7502,-5.51%,-9.56%,-18.72%,-21.28%,-19.53%,-19.13%
161027,富国中证全指证券公司指数分级,0.6092,-5.48%,-9.21%,-26.68%,-39.25%,-32.59%,-62.10%
161028,富国中证新能源汽车指数分级,0.8625,-6.47%,-23.94%,-35.03%,-44.66%,-30.64%,-42.57%
161029,富国中证银行指数分级,0.9591,0.64%,3.52%,-9.43%,-8.50%,14.02%,0.34%
161030,富国中证体育产业指数分级,0.8993,-9.20%,-17.21%,-31.16%,-43.55%,-56.24%,-62.15%
161031,富国中证工业4.0指数分级,0.8878,-12.00%,-16.62%,-32.84%,-39.20%,-41.10%,-65.21%
161032,富国中证煤炭指数分级,0.9453,3.23%,3.11%,-10.87%,-26.94%,-4.06%,-41.71%
161033,富国中证智能汽车(LOF),0.6758,-10.27%,-16.50%,-31.12%,-39.96%,--,-32.70%
161035,富国中证医药主题指数增强,0.8515,-9.10%,-23.44%,-20.06%,-13.10%,--,-15.10%
161036,富国中证娱乐主题指数增强型,0.5467,-9.53%,-20.04%,-34.47%,-43.89%,--,-45.23%
161037,富国中证高端制造指数增强型,--,-8.78%,-18.54%,-30.06%,-30.77%,--,-20.08%
161038,富国新兴成长量化精选混合,0.7655,-6.49%,-16.54%,-25.20%,-27.61%,--,-23.41%
161039,富国中证1000指数增强,0.8620,-8.14%,-13.25%,--,--,--,-13.27%
161115,易方达岁丰添利债券(LOF),1.3154,-0.30%,0.38%,-0.83%,-2.16%,5.78%,101.23%
161116,易方达黄金主题,0.6978,0.72%,-0.14%,0.58%,-3.06%,7.40%,-30.30%
161117,易方达永旭定开债,1.0602,0.66%,2.12%,2.81%,5.63%,13.77%,51.78%
161118,易方达中小板指数分级,0.7750,-8.87%,-19.46%,-30.65%,-33.87%,-24.03%,4.42%
161119,易方达新综合债券A,1.3052,0.77%,1.66%,3.02%,4.85%,12.82%,30.51%
161120,易方达新综合债券C,1.2847,0.75%,1.57%,2.87%,4.51%,11.70%,28.46%
161121,易方达银行分级,0.8781,0.81%,4.06%,-8.65%,-7.47%,18.27%,-6.28%
161122,易方达生物分级,0.9058,-8.34%,-24.11%,-22.27%,-18.88%,-8.60%,-42.06%
